Title,Description,Priority,Estimate,Status,Project,Cycle,Labels,ExternalID
Implement agent-adapter interception hooks,REQ-MIRROR-001 - Intercept intent and normalize decision request,1,2,Done,Unbox,Sprint 1,Backend,S1-T01
Define and validate canonical decision payload schema,"REQ-MIRROR-003, NFR-006 - Define mandatory fields and validate structure",1,1.5,Done,Unbox,Sprint 1,Backend,S1-T02
Implement off-chain decision payload persistence,REQ-MIRROR-002 - Persist decision payload off-chain,1,2,Done,Unbox,Sprint 1,Backend,S1-T03
Implement on-chain hash anchoring flow to DecisionLog,"REQ-MIRROR-002, NFR-004 - On-chain anchor writes and confirm budget",1,2,Done,Unbox,Sprint 1,SmartContract,S1-T04
Emit lifecycle event stream (DecisionLogged),REQ-MIRROR-005 - Canonical event emission per lifecycle stage,2,1.5,Done,Unbox,Sprint 1,SmartContract,S1-T05
Build minimal dashboard stream for live rows,"REQ-MIRROR-005, NFR-001, NFR-003 - Live visualization and load budget",2,2,Done,Unbox,Sprint 1,Frontend,S1-T06
Build explanation worker for blocked decisions,REQ-MIRROR-004 - Plain language explanation from risk signals,1,2,Done,Unbox,Sprint 2,Backend,S2-T01
Implement state snapshot capture at decision time,REQ-CF-001 - Pre-action snapshot (Price/Liquidity/Gas),1,1.5,Done,Unbox,Sprint 2,Backend,S2-T02
Implement replay engine for 3 fixed scenarios,REQ-CF-002 - Simulation logic for 3 outcome scenarios,1,2,Done,Unbox,Sprint 2,Backend,S2-T03
Implement quantitative delta computation,REQ-CF-003 - Performance delta computation (USD/Slippage/Gas),1,1.5,Done,Unbox,Sprint 2,Backend,S2-T04
Generate short synthesis text per scenario,REQ-CF-004 - Synthetic outcome summary per replay,2,1,Done,Unbox,Sprint 2,Backend,S2-T05
Persist replay linkage by decision ID,REQ-CF-005 - One-to-many linkage in decision-store,2,1,Done,Unbox,Sprint 2,Backend,S2-T06
Implement soulbound identity token contract behavior,REQ-REP-001 - Non-transferable identity logic,1,2,Done,Unbox,Sprint 3,SmartContract,S3-T01
Implement weighted score calculator (35/30/20/15),REQ-REP-002 - On-chain weighted scoring formula,1,1.5,Done,Unbox,Sprint 3,SmartContract,S3-T02
Implement score and metadata update pipeline per finalized decision,REQ-REP-003 - Push scoring updates on finalization,1,2,Done,Unbox,Sprint 3,Backend,S3-T03
Implement checkpoint storage/query for historical score,REQ-REP-004 - Historical snapshot retrieval path,2,1.5,Done,Unbox,Sprint 3,SmartContract,S3-T04
Build reputation dashboard view,"REQ-REP-002, 003, 004 - Live reputation visualization",2,2,Done,Unbox,Sprint 3,Frontend,S3-T05
Implement unpaid request challenge flow (HTTP 402),REQ-FEED-001 - Valid x402 payment challenge,1,1.5,Done,Unbox,Sprint 4,Backend,S4-T01
Implement payment verification gate before data delivery,REQ-FEED-002 - Verification middleware before delivery,1,2,Done,Unbox,Sprint 4,Backend,S4-T02
Implement 80/20 settlement accounting and transfer logic,REQ-FEED-003 - Revenue split and settlement compliance,1,2,Done,Unbox,Sprint 4,Backend,S4-T03
Optimize paid response path for SLA <= 3s P95,REQ-FEED-004 - Paid gateway SLA optimization,2,1.5,Done,Unbox,Sprint 4,Backend,S4-T04
Build feed console timeline UI,"REQ-FEED-001, 002, 004 - x402 payment timeline UX",2,1.5,Done,Unbox,Sprint 4,Frontend,S4-T05
Build unified observability dashboards,"NFR-001, 002, 003, 004 - Latency and health metrics dashboards",1,2,Todo,Unbox,Sprint 5,PlatformOps,S5-T01
Implement API spike fallback and cache last 20,NFR-005 - Graceful degradation and caching path,1,1.5,Todo,Unbox,Sprint 5,Backend,S5-T02
Implement TEE failover runbook and backup EOA path,NFR-005 - TEE recovery and failover procedures,2,1.5,Todo,Unbox,Sprint 5,PlatformOps,S5-T03
Add chain congestion queueing and pending UX,NFR-004 - Congestion queue and pending UI states,2,2,Todo,Unbox,Sprint 5,Backend,S5-T04
Run full traceability audit,REQ/NFR sign-off and traceability audit,1,1,Todo,Unbox,Sprint 5,QA,S5-T05
Execute regression suite and fix priority defects,Full regression and defect triage,1,2,Todo,Unbox,Sprint 6,QA,S6-T01
Run load/perf campaign and tune hotspots,"NFR-001, 002, 003 - Performance tune and benchmark",1,2,Todo,Unbox,Sprint 6,PlatformOps,S6-T02
Rehearse judge/demo path with scripted scenarios,Interactive demo rehearsing and dataset seeding,2,1,Todo,Unbox,Sprint 6,Product,S6-T03
Freeze release artifacts and deployment checklist,Final release package and checkpoint sign-off,1,1,Todo,Unbox,Sprint 6,Product,S6-T04
